NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,numbering_guide,location
,FDIF065 RA,INNER FENDER RH,Ford,ECOSPORT,CN15-16114-AB,20,14.0946148,14.27976864,0.048583122,2013,2016,,,,,
9,CN15-N1-6746AA,INSUL HOOD PNL SND *,Ford,ECOSPORT,CN15-N-16746AA,1,15.60009456,0.989095539,0.479933258,2013,2016,,,,,
10,FDR065 UA,RADIATOR SUPPORT UPPER,Ford,ECOSPORT,CN16-16E146-BA,1,4.392720359,5.259441621,0.027331553,2013,2016,,,,,
11,CN15-16-E146AK,RADIATOR SUPPORT UPPER,Ford,ECOSPORT,CN1Z-16-138A,1,1.747155867,1.567617065,0.060197815,2015,2018,,,,,
12,FDR065 LA,RADIATOR SUPPORT LOWER,Ford,ECOSPORT,CN16-16E147-AD,2,1.752529605,1.704097198,0.108402625,2013,2016,,,,,
13,FDBR065 NA,FRONT REINFORCEMENT,Ford,ECOSPORT,CN15-17E778-AC,1,1.334345766,1.552030835,0.008528303,2013,2016,,,,,
14,YL8Z-6A-642BA,"COOLER,OIL",Ford,ECOSPORT,YL8Z-6A-642BA,1,13.96141436,19.74617817,0.204249922,2013,2016,,,,,
15,AV11-19-710KA,AC CONDENSER,Ford,ECOSPORT,AV1Z-19-712C,1,2.374981772,2.994470662,0.048597497,2015,2018,,,,,
16,CN15-8B-384AB,AIR GUIDE LOWER,Ford,ECOSPORT,CN15-8B-384AB,1,1.111515465,1.209163234,0.021202266,2015,2018,,,,,
17,CN15-17-402BA,REAR WIPER BLADE,Ford,ECOSPORT,CN15-17-402BA,1,0.070091969,0.338016046,0.000110618,2015,2018,,,,,
18,CN15-17-C403BB,REAR WIPER ARM ASSY.,Ford,ECOSPORT,CN15-17-C403BB,1,0.204972295,0.247675831,0.332965792,2015,2018,,,,,
1,CN15-17-E731AA,LH SIDE MIRROR LOWER COVER,Ford,ECOSPORT,CN15-17-E731AA,1,0.041569191,0.085355966,0.00107724,2015,2018,,,,,
,CN15-17-E730AA,RH SIDE MIRROR LOWER COVER,Ford,ECOSPORT,CN15-17-E730AA,1,0.037330652,0.083979795,0.001108379,2015,2018,,,,,
2,CN15-A0-01A04AA,AIR GUIDE UPPER,Ford,ECOSPORT,CN15-A0-01A04AA,1,0.247271603,0.360681678,0.015127021,2015,2018,,,,,
3,FDBS065 LA,FRONT BUMPER BRACKET LH,Ford,ECOSPORT,CN15-17A870-AD,1,1.779957373,19.38018766,0.377920568,2013,2013,,,,,
,FDBS065 RA,FRONT BUMPER BRACKET RH,Ford,ECOSPORT,CN15-17A869-AD,1,9.053465519,3.0570537,1.619840479,2013,2013,,,,,
1,GN1Z-17757-BE,FRONT BUMPER,Ford,ECOSPORT,GN1Z-17757-BE,1,8.386864086,3.772600501,0.54150692,2018,2018,,,,,
2,GN1Z-17D957-JB,FRONT BUMPER LOWER,Ford,ECOSPORT,GN1Z-17D957-JB,1,10.1631212,5.521775991,2.052641123,2018,2018,,,,,
3,GN1Z-17D957-MB,COVER FRONT BUMPER LH,Ford,ECOSPORT,GN1Z-17D957-MB,1,2.760137446,18.49746695,0.244790854,2018,2018,,,,,
,GN1Z-17D957-RB,COVER FRONT BUMPER RH,Ford,ECOSPORT,GN1Z-17D957-RB,1,0.127991891,7.748997518,0.291092523,2018,2018,,,,,
4,GN1Z-17626-BD,PANEL FRONT BUMPER LOWER,Ford,ECOSPORT,GN1Z-17626-BD,1,13.26710391,4.205737264,0.418151112,2018,2018,,,,,
1,UBYL-50-03Y,FRONT BUMPER LOWER WITH HOLE,Ford,EVEREST,UBYL-50-03Y,1,2.090503701,2.33360303,0.181235296,2006,2008,,,,,
