NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,front/back,location
3,IZIB055 NA,REAR BUMPER BK,Isuzu,D-MAX,9D7S-J87MR-8K,1,10.72,13.12,0.07,"2,013","2,014",,,,,
10,5-86701-753-0,REAR BUMPER BK OEM,Isuzu,DMAX,5-86701-753-0,1,2.07,3.01,0.17,"2,007","2,008",,Bumper,,Back,Single Part
14,IZIB063 NA,REAR BUMPER BK W/BRACKET SETS,Isuzu,D-MAX,A-222BK,1,14.42,13.66,0.08,"2,020","2,020",,,,,
2,UR56-50-280,REAR BUMPER BRACKET,Ford,RANGER DURATORQ,UR56-50-280C,1,1.1,1.59,0.02,"2,006","2,007",,Bumper,,Back,Single Part
,UR56-50-270,REAR BUMPER BRACKET,Ford,RANGER DURATORQ,UR56-50-270B,1,0.92,1.54,0.02,"2,006","2,007",,Bumper,,Back,Single Part
3,FDBS014 LB,REAR BUMPER BRACKET 5 DOOR LH,Ford,FIESTA,8A61-17A882-AD,10,2.39,2.26,0.14,"2,009","2,009",,,,,
,FDBS014 RB,REAR BUMPER BRACKET 5 DOOR RH,Ford,FIESTA,8A61-17A881-AD,1,3.68,23.97,0.32,"2,009","2,009",,,,,
14,FDBS112 LA,REAR BUMPER BRACKET BIG LH,Ford,RANGER RAPTOR,FU67-7OCZJ-UZ,1,11.92,11.34,1.37,"2,022","2,022",,,,,
,FDBS112 RA,REAR BUMPER BRACKET BIG RH,Ford,RANGER RAPTOR,AZ1Z-HAVGA-QA,1,10.2,26.45,0.59,"2,022","2,022",,,,,
8,FDBS004 LA,REAR BUMPER BRACKET LH,Ford,BANTAM,8H2R-SG892-Y4,1,0.2,0.18,0.01,"2,004","2,009",,,,,
15,FDBS112 LB,REAR BUMPER BRACKET LH,Ford,RANGER RAPTOR,OVUB-K7894-WI,1,20.07,10.26,0.91,"2,022","2,022",,,,,
11,FDBS016 LA,REAR BUMPER BRACKET LH (BIG) 4DR.,Ford,FIESTA,8A69-17B882-A,20,2.63,2.21,0.03,"2,009","2,009",,,,,
13,FDBS016 LM,REAR BUMPER BRACKET LH (SMALL) 4DR.,Ford,FIESTA,8A69-17A882-B,20,2.45,2.4,0.03,"2,009","2,009",,,,,
15,FDSB042 LA,REAR BUMPER BRACKET LH 4DR.,Ford,FOCUS,5M51-F17E851-A,1,9.53,1.59,1.64,"2,011","2,011",,,,,
11,8-98030-173-0,REAR BUMPER BRACKET LH OEM,Isuzu,DMAX,8-98030-173-0,1,2.14,2.56,0.02,"2,007","2,007",,Bumper,,Back,Left Side
,FDBS004 RA,REAR BUMPER BRACKET RH,Ford,BANTAM,OPLM-L70CT-QG,1,0.2,0.18,0.02,"2,004","2,009",,,,,
,FDBS112 RB,REAR BUMPER BRACKET RH,Ford,RANGER RAPTOR,5IZA-9K7EC-0D,1,6.86,5.71,1.16,"2,022","2,022",,,,,
,FDBS016 RA,REAR BUMPER BRACKET RH (BIG) 4DR.,Ford,FIESTA,8A69-17B881-A,20,2.49,2.47,0.03,"2,009","2,009",,,,,
,FDBS016 RM,REAR BUMPER BRACKET RH (SMALL) 4DR.,Ford,FIESTA,8A69-17A881-B,20,2.44,2.58,0.03,"2,009","2,009",,,,,
,FDSB042 RA,REAR BUMPER BRACKET RH 4DR.,Ford,FOCUS,5M51-F17E850-A,1,0.42,0.27,0.22,"2,011","2,011",,,,,
,8-98030-172-0,REAR BUMPER BRACKET RH OEM,Isuzu,DMAX,8-98030-172-0,1,2.27,2.38,0.02,"2,007","2,007",,Bumper,,Back,Right Side
6,8-98153-274-3,REAR BUMPER CENTER CP,Isuzu,D-MAX,8-98153-274-3,1,8.36,10.28,0.07,"2,012","2,016",,Bumper,,Back,Right Side
9,FDP014 SP A,REAR BUMPER COVER,Ford,FIESTA,8A69-17K-922,1,6.15,1.98,0.12,"2,010","2,010",,,,,
7,FDSP042 NA,REAR BUMPER COVER PART,Ford,FOCUS 4 Drs,5M51-F17K922-BAX,1,2.11,6.97,2.49,"2,005","2,006",,,,,
11,FDSP044 NA,REAR BUMPER COVER PART,Ford,FOCUS 5 Door,4M51-A17K922-BA,1,8.5,22.81,1.03,"2,005","2,006",,,,,
9,FDSP039 UA,REAR BUMPER COVER PLASTIC UPPER,Ford,RANGER,EB3B-17-B810AA,5,6.45,9.12,0.26,"2,011","2,018",,,,,
10,FDP014 SP B,REAR BUMPER COVER SPORT,Ford,FIESTA,8A61-17K-922,1,3.42,2.15,0.33,"2,010","2,010",,,,,
8,FDIB039 NB,REAR BUMPER CP,Ford,RANGER,ZL6Z-BH7SG-Q9,1,12.01,14.95,0.05,"2,011","2,011",,,,,
17,IZIB042 NB,REAR BUMPER CP,Isuzu,D'MAX,8-97352-581-0/AC-445-C,1,9.7,12.45,0.06,"2,004","2,005",,,,,
7,IZIB050 NB,REAR BUMPER CP,Isuzu,D-MAX,5-86701-829-0,1,8.95,13.84,0.07,"2,006","2,008",,,,,
4,IZIB055 NB,REAR BUMPER CP,Isuzu,D-MAX,8-98153-274-3/8-98102-359-2(RUBBER),1,9.74,14.06,0.07,"2,012","2,016",,,,,
15,IZIB063 NB,REAR BUMPER CP W/BRACKET SETS,Isuzu,D-MAX,A-222,1,13.14,13.63,0.07,"2,020","2,020",,,,,
9,8-98030-170-0,REAR BUMPER GUARD OEM,Isuzu,DMAX,8-98030-170-0,1,6.86,6.31,0.05,"2,007","2,007",,Bumper,,Back,Single Part
4,FDB106 NA,REAR BUMPER H/B,Ford,FIGO,1895249(MX),1,4.24,4.64,0.06,"2,016","2,017",,,,,
,FDBL044 LA,REAR BUMPER LAMP LH,Ford,FOCUS 5 Door,5M51-15K273-AA,1,4.87,19,0.18,"2,005","2,006",,,,,
5,FDBL050 LA,REAR BUMPER LAMP LH RED/RED,Ford,FOCUS 5D,8M51-15K273-AA,1,10.78,6.19,0.4,"2,009","2,010",,,,,
5,FDBL044 RA,REAR BUMPER LAMP RH,Ford,FOCUS 5 Door,5M51-15500-AA,1,5.86,2.8,0.5,"2,005","2,006",,,,,
,FDBL050 RA,REAR BUMPER LAMP RH RED/CLEAR,Ford,FOCUS 5D,8M51-15500-AA,1,8.62,2.81,2.35,"2,009","2,010",,,,,
4,FDP014 NB,REAR BUMPER LOWER,Ford,FIESTA,8A69-17D881-,1,0.99,1.05,0.02,"2,009","2,010",,,,,
4,FDP014 NB,REAR BUMPER LOWER,Ford,FIESTA,8A69-17D881-,1,1.04,1.03,0.02,"2,009","2,010",,,,,
9,DK49-50-22102,REAR BUMPER LOWER,Ford,FIESTA,CA6Z-17-K835AA,1,4.57,3.53,1.29,"2,013","2,013",,Bumper,,Back,Single Part
5,DK49-50-22102,REAR BUMPER LOWER,Ford,FIESTA,CA69-17-D781AA5ZCT,1,10.07,15.16,2.61,"2,013","2,013",,Bumper,,Back,Single Part
2,FDB044 LA,REAR BUMPER LOWER,Ford,FOCUS 5 Door,5M59-17A894-A-PA10,1,13.9,22.06,3,"2,005","2,006",,,,,
6,GMP018 LA,REAR BUMPER LOWER,GMC,YUKON,"22,983,417",1,18.81,9.52,0.06,"2,015","2,016",,,,,
3,FDP042 NA,REAR BUMPER LOWER 1800 CC,Ford,FOCUS 4 Drs,4M51-17682-CH,1,1.39,6.02,0.99,"2,005","2,006",,,,,
4,FDP042 NB,REAR BUMPER LOWER 2000 CC,Ford,FOCUS 4 Drs,4M51-17683-CH,1,1.93,1.63,0.29,"2,005","2,006",,,,,
3,FDP014 NA,REAR BUMPER LOWER SPORT,Ford,FIESTA,8A61-17D781-AB5ZT,1,1.55,1.71,0.02,"2,009","2,010",,,,,
3,FDP014 NA,REAR BUMPER LOWER SPORT,Ford,FIESTA,8A61-17D781-AB5ZT,1,1.48,1.44,0.02,"2,009","2,010",,,,,
11,FDIB035 NB,REAR BUMPER OEM TYPE CP,Ford,FORD DURATORQUE,KV105,1,9.8,13.65,0.06,"2,006","2,008",,,,,
6,FDB040 NA,REAR BUMPER PLASTIC ABS COLOR SETS,Ford,DURATORQUE,MAS4-RKWNF-BG,1,5.78,8.06,0.03,"2,012","2,014",,,,,
9,IZIB051 NA,REAR BUMPER PLASTIC PRIMER SET,Isuzu,D-MAX PLATINUM,C9BG-738KE-L1,1,5.42,7.24,0.05,"2,008","2,010",,,,,
2,FDBR014 CA,REAR BUMPER REINFORCEMENT,Ford,FIESTA,8A61-17B881,1,0.31,0.32,0.01,"2,009","2,010",,,,,
9,FDBR014 CA,REAR BUMPER REINFORCEMENT,Ford,FIESTA,8A61-17B881,1,0.29,0.29,0.01,"2,009","2,010",,,,,
6,FDBR042 NA,REAR BUMPER REINFORCEMENT,Ford,FOCUS,3M51-24-03226,1,3.56,4.56,0.05,"2,005","2,007",,,,,
17,UR56-50-260,REAR BUMPER REINFORCEMENT,Ford,RANGER DURATORQ,UR56-50-260B,1,5.12,5.65,0.03,"2,006","2,007",,Bumper,,Back,Single Part
3,FDB104 NA,REAR BUMPER SEDAN,Ford,FIGO,1895234(MX),1,3.59,4.08,0.06,"2,016","2,018",,,,,
6,FDB016 NA,REAR BUMPER SEDAN 4 DOOR,Ford,FIESTA,DR86-50-YJ2ABB,1,4.38,5.62,0.07,"2,010","2,012",,,,,
1,FDB020 NA,REAR BUMPER SEDAN/4 DOOR,Ford,FIESTA,D5BB-17906-ACXUAA,1,17.49,12.9,0.06,"2,013","2,016",,,,,
8,IZIB050 NS,REAR BUMPER STAINLESS,Isuzu,D-MAX,5-86701-829-0,1,9.69,13.26,0.08,"2,006","2,008",,,,,
12,FDIB035 NS,REAR BUMPER STANLESS,Ford,BT-50,URY1-50-221,1,9.25,12.16,0.06,"2,006","2,008",,,,,
10,FDBS044 NA,REAR BUMPER STRIP,Ford,FOCUS 5 Door,4M51-17E911-A,1,0.78,2.01,0.63,"2,005","2,010",,,,,
,FDBS042 LA,REAR BUMPER STRIP LH LH,Ford,FOCUS 4 Drs,5M51-17C769-E,1,8.11,7.03,0.48,"2,005","2,006",,,,,
12,FDBS042 CA,REAR BUMPER STRIP LONG,Ford,FOCUS 4 Drs,5M51-17E911-B,1,1.97,2.86,0.22,"2,005","2,006",,,,,
,FDBS042 RA,REAR BUMPER STRIP RH RH,Ford,FOCUS 4 Drs,5M51-17C768-E,1,19.79,1.78,0.71,"2,005","2,006",,,,,
8,FDBS044 NA,REAR BUMPER SUPPORT,Ford,FOCUS 5 Door,4M51-A17B861-AE,1,17.85,23.33,0.21,"2,005","2,010",,,,,
4,FDBS014 LA,REAR BUMPER SUPPORT 4 DOOR LH,Ford,FIESTA,8A69-17B882-A,1,7.02,9.61,0.11,"2,009","2,009",,,,,
,FDBS014 RA,REAR BUMPER SUPPORT 4 DOOR RH,Ford,FIESTA,8A69-17B881-A,10,2.28,2.47,0.13,"2,009","2,009",,,,,
,FDBS044 LA,REAR BUMPER SUPPORT LH,Ford,FOCUS 5 Door,5M51-F17E851-AE,10,4.05,4.08,0.23,"2,005","2,010",,,,,
16,FDSB042 CA,REAR BUMPER SUPPORT MIDDLE,Ford,FOCUS,5M51-17B861,1,26.72,9.54,0.14,"2,005","2,010",,,,,
9,FDBS044 RA,REAR BUMPER SUPPORT RH,Ford,FOCUS 5 Door,5M51-F17E850-AE,10,3.59,3.47,0.25,"2,005","2,010",,,,,
1,FDB044 UA,REAR BUMPER UPPER,Ford,FOCUS 5 Door,5M59-A17K823-BAW,1,2.57,5.86,0.7,"2,005","2,006",,,,,
7,FDB116 NA,REAR BUMPER W/O SENSOR HOLE,Ford,TAURUS,AG1Z-17C947-B,1,0.06,4.35,5.61,"2,015","2,019",,,,,
8,FDB116 NB,REAR BUMPER W/SENSOR HOLE,Ford,TAURUS,AG1Z-17C947-A,1,0.06,4.36,4.69,"2,015","2,019",,,,,
12,FDP014 SP,REAR COVER PART,Ford,FIESTA 5 DOOR,FDP014 SP,1,3.54,3.81,0.88,"2,009","2,010",,,,,
13,FDFD035 R LA,REAR DOOR DOUBLE CAB LH,Ford,RANGER/BT-50,UR63-73-020,1,13.35,15.7,0.14,"2,007","2,007",,,,,
1,FDFD035 R LA,REAR DOOR DOUBLE CAB LH,Ford,RANGER/BT-50,UR63-73-020/020E,1,11.63,15.35,0.15,"2,006","2,010",,,,,
14,FDFD039 R LA,REAR DOOR DOUBLE CAB LH,Ford,RANGER,AB39-26-24631AB,1,14.03,16.9,0.18,"2,011","2,011",,,,,
6,IZFD055 R LA,REAR DOOR DOUBLE CAB LH,Isuzu,D-MAX,8-98161-045-1,1,14.61,15.93,0.19,"2,012","2,016",,,,,
6,IZFD063 R LA,REAR DOOR DOUBLE CAB LH,Isuzu,D-MAX,8-97492-142-7,1,15.17,14.12,0.09,"2,019","2,023",,,,,
6,IZFD063 R LA,REAR DOOR DOUBLE CAB LH,Isuzu,D-MAX,8-97492-142-7,1,14.86,15.68,0.1,"2,019","2,023",,,,,
,FDFD035 R RA,REAR DOOR DOUBLE CAB RH,Ford,RANGER/BT-50,UR63-72-020,1,14.59,16.7,0.13,"2,007","2,007",,,,,
,FDFD035 R RA,REAR DOOR DOUBLE CAB RH,Ford,RANGER/BT-50,UR63-72-020/020E,1,12.78,14.83,0.12,"2,006","2,010",,,,,
,FDFD039 R RA,REAR DOOR DOUBLE CAB RH,Ford,RANGER,AB39-26-24630AB,1,17.58,20.64,0.16,"2,011","2,011",,,,,
,IZFD055 R RA,REAR DOOR DOUBLE CAB RH,Isuzu,D-MAX,8-98161-044-1,1,11.73,15.44,0.16,"2,012","2,016",,,,,
,IZFD063 R RA,REAR DOOR DOUBLE CAB RH,Isuzu,D-MAX,8-97492-141-7,1,17.21,18.48,0.09,"2,019","2,023",,,,,
,IZFD063 R RA,REAR DOOR DOUBLE CAB RH,Isuzu,D-MAX,8-97492-141-7,1,14.24,15.35,0.09,"2,019","2,023",,,,,
6,FDFD087 R LA,REAR DOOR DOUBLE LH,Ford,RANGER,N1WZ-26-24631A,1,2.53,11.11,0.82,"2,022","2,022",,,,,
,FDFD087 R RA,REAR DOOR DOUBLE RH,Ford,RANGER,N1WZ-26-24630A,1,18.83,15.67,1.49,"2,022","2,022",,,,,
,UC9N-73-511,REAR DOOR GLASS LH,Ford,RANGER 4WD,UC9N-73-511,1,2.87,4,0.07,"2,013","2,013",,Bumper Finisher,,Back,Single Part
12,UC9P-72-511,REAR DOOR GLASS RH,Ford,RANGER,AB39-26-25712CA,1,2.84,3.15,0.06,"2,011","2,011",,Door,,Front,Right Side
4,DN24-73020 B,REAR DOOR LH,Ford,FIESTA,DN24-13020 B,1,13.7,17.51,0.22,"2,013","2,014",,Door,,Front,Left Side
14,UR63-73-020E,REAR DOOR LH,Ford,RANGER,UR63-73-020E,1,13.87,15.78,0.2,"2,010","2,010",,Door,,Front,Left Side
9,8-98042-901-0,REAR DOOR LH,Isuzu,D- MAX,8-97359-171-0,1,13.93,17.35,0.23,"2,007","2,007",,Door,,Front,Left Side
11,IZFD037 R LA,REAR DOOR LH DOUBLE CAB,Isuzu,D-MAX,8-97359-171-0,1,15.32,17.79,0.16,"2,002","2,008",,,,,
11,IZFD037 R LA,REAR DOOR LH DOUBLE CAB,Isuzu,D'MAX,8-97359-171-0,1,18.79,17.19,0.15,"2,002","2,008",,,,,
7,8-98108-261-5,REAR DOOR LH OPEN CAB,Isuzu,D-MAX,8-98108-261-5,1,17.84,17.27,0.27,"2,012","2,016",,Door,,Front,Left Side
,DN24-72020 B,REAR DOOR RH,Ford,FIESTA,DN24-72020 B,1,13.52,14.74,0.18,"2,013","2,014",,Door,,Front,Right Side
,UR63-72-020E,REAR DOOR RH,Ford,RANGER,UR63-72-020E,1,14.75,18.75,0.21,"2,010","2,010",,Door,,Front,Right Side
,8-98042-902-0,REAR DOOR RH,Isuzu,D-MAX,8-97359-170-0,1,13.14,18.01,0.23,"2,007","2,007",,Door,,Front,Right Side
,IZFD037 R RA,REAR DOOR RH DOUBLE CABIN,Isuzu,D-MAX,8-97359-170-0,1,14.53,15.66,0.14,"2,002","2,008",,,,,
,IZFD037 R RA,REAR DOOR RH DOUBLE CABIN,Isuzu,D'MAX,8-97359-170-0,1,15,15.14,0.18,"2,002","2,008",,,,,
,8-98108-260-5,REAR DOOR RH OPEN CAB,Isuzu,D-MAX,8-98108-260-5,1,13.51,17.97,0.27,"2,012","2,016",,Door,,Front,Right Side
,8-97235-466-2,REAR FENDER FLARE,Isuzu,ISUZU DMAX 2 DRS CAB,8-97235-466-2,1,1.53,2.29,0.1,"2,004","2,005",,Door,,Front,Right Side
10,8-97235-465-2,REAR FENDER FLARE 2 DRS CAB,Isuzu,ISUZU DMAX 2 DRS CAB,8-97235-465-2,1,1.59,1.98,0.12,"2,004","2,005",,Fender Flare,,Back,Single Part
11,8-97235-470-1,REAR FENDER FLARE 4 DRS LH,Isuzu,ISUZU DMAX 4DRS,8-97235-470-1,1,0.17,0.16,0,"2,004","2,005",,Fender Flare,,Back,Left Side
12,8-97350-460-1,REAR FENDER FLARE 4 DRS LH,Isuzu,ISUZU DMAX 4DRS,8-97377-500-0,1,0.94,2.19,0.49,"2,004","2,005",,Fender Flare,,Back,Left Side
,8-97235-469-1,REAR FENDER FLARE 4 DRS RH,Isuzu,ISUZU DMAX 4 DRS,8-97350-478-1,1,0.13,0.14,0,"2,004","2,005",,Fender Flare,,Back,Right Side
,8-97350-458-1,REAR FENDER FLARE 4 DRS RH,Isuzu,ISUZU DMAX 4DRS,8-97377-499-0,1,2.77,2.89,1.22,"2,004","2,005",,Fender Flare,,Back,Right Side
16,8-98023-658-0,REAR FENDER FLARE LH (FRONT) OEM,Isuzu,DMAX,8-98023-658-0,1,0.16,0.17,0,"2,007","2,007",,Fender Flare,,Back,Left Side
14,8-98023-651-0,REAR FENDER FLARE LH 4X4 OEM,Isuzu,D-MAX,8-98023-651-0,1,0.86,2.41,0.12,"2,007","2,008",,Fender Flare,,Back,Left Side
,8-98023-657-0,REAR FENDER FLARE RH (FRONT) OEM,Isuzu,DMAX,8-98023-657-0,1,0.12,0.14,0,"2,007","2,007",,Fender Flare,,Back,Right Side
,8-98023-648-0,REAR FENDER FLARE RH 4X4 OEM,Isuzu,D-MAX,8-98023-648-0,1,0.89,2.2,0.12,"2,007","2,008",,Fender Flare,,Back,Right Side
16,UH71-65-750,REAR GATE HANDLE,Ford,FORD RANGER,70-UH71-65-750A A,100,5.03,7.36,0.07,"1,999","2,001",,Rear Gate,,Back,Single Part
17,8-97235-386-0,REAR GATE MIDDLE HANDLE CP,Isuzu,D-MAX,8-97235-386-0,1,1.1,0.98,0.01,"2,002","2,005",,Rear Gate,,Back,Single Part
12,FDT029 NA,REAR GATE MIDDLE OPENER,Ford,FORD RANGER,UH71-65-610A,1,4.43,8.28,0.06,"1,999","1,999",,,,,
1,FDT029 NA,REAR GATE MIDDLE OPENER,Ford,FORD RANGER,UH71-65-610A,1,10.06,13.54,0.04,"1,999","1,999",,,,,
5,IZT030 NB,REAR GATE MIDDLE OPENER,Isuzu,TFR DRAGON EYE,8-97940-402-0,1,13.81,18.19,0.07,"2,000","2,000",,,,,
16,8-97235-385-2,REAR GATE MIDDLE OPENNER BLACK,Isuzu,D-MAX,8-98079-019-0,1,0.31,0.51,0,"2,002","2,005",,Rear Gate,,Back,Single Part
1,RGH037CB IZ,REAR GATE MIDDLE OPENNER CP,Isuzu,D-MAX,8-97235-386-2,1,0.24,0.25,0,"2,003","2,005",,,,,
18,8-97235-386-0,REAR GATE MIDDLE OPENNER CP,Isuzu,D-MAX,8-97235-386-2,1,0.99,1.04,0.01,"2,002","2,005",,Rear Gate,,Back,Single Part
4,IZT030 NA,REAR GATE SIDE OPENER,Isuzu,TFR DRAGON EYES,8-97940-401-0,1,14.67,17.73,0.07,"2,000","2,000",,,,,
10,IZIF053 R LA,REAR INNER FENDER LH 2WD,Isuzu,D-MAX,8-98148-028-2,25,15.85,13.45,0.08,"2,012","2,016",,,,,
13,IZIF055 R LA,REAR INNER FENDER LH 4X4,Isuzu,DMAX,8-98148-034-4,25,16.48,14.2,0.07,"2,012","2,016",,,,,
,IZIF053 R RA,REAR INNER FENDER RH 2WD,Isuzu,D-MAX,8-98148-027-2,25,13.27,13.85,0.09,"2,012","2,016",,,,,
,IZIF055 R RA,REAR INNER FENDER RH 4X4,Isuzu,DMAX,8-98148-032-4,25,15.43,17.18,0.07,"2,012","2,016",,,,,
14,8-98130-014-0,REAR L/S DOOR GLASS,Isuzu,D-MAX,8-98130-014-0,1,2.65,3.33,0.02,"2,010","2,010",,Door,,Back,Left Side
12,FDLP014 NA,REAR LICENSE PLATE,Ford,FIESTA,ZMJI-ROK7P-52,1,15.9,1.25,1.23,"2,010","2,010",,,,,
11,FDLP014 NA,REAR LICENSE PLATE,Ford,FIESTA,L9MN-GS1XA-GS,1,17.52,17.53,1.71,"2,010","2,010",,,,,
9,FDP116 NA,REAR LOWER PANEL,Ford,TAURUS,DG1Z-17F828-AA,1,0.05,3.81,4.66,"2,013","2,019",,,,,
4,8-97386-726-0,REAR MUD FLAP LH,Isuzu,D-MAX TFR,8-97386-726-0,1,0.27,0.3,0,"2,003","2,003",,Mud Guard,,Back,Left Side
,8-97386-725-0,REAR MUD FLAP RH,Isuzu,D-MAX TFR,8-97386-725-0,1,0.32,0.34,0,"2,003","2,003",,Mud Guard,,Back,Right Side
17,8-98007-160-2,REAR MUDGUARD 4WD LH OEM,Isuzu,DMAX,8-98007-160-2,1,0.23,0.22,0,"2,007","2,007",,Mud Guard,,Back,Right Side
,8-98007-159-2,REAR MUDGUARD 4WD RH OEM,Isuzu,DMAX,8-98007-159-2,1,0.21,0.24,0,"2,007","2,007",,Mud Guard,,Back,Left Side
15,8-98023-656-0,REAR MUDGUARD LH OEM,Isuzu,DMAX,8-98023-656-0,1,0.24,0.24,0,"2,005","2,007",,Mud Guard,,Back,Left Side
,8-98023-655-0,REAR MUDGUARD RH OEM,Isuzu,DMAX,8-98023-655-0,1,0.23,0.23,0,"2,005","2,007",,Mud Guard,,Back,Right Side
2,FDB050 NB,REAR NUMPER 3 HOLE (5 DRS),Ford,FOCUS,8M51-A17906-DCXWAB,1,4.28,15.5,0.06,"2,009","2,010",,,,,
16,8-97235-849-0,REAR PILLAR,Isuzu,D-MAX,8-97235-849-0,1,3.88,5.85,0.08,"2,002","2,002",,Moulding Lower,,Back ,Single Part
,8-97235-848-0,REAR PILLAR,Isuzu,D-MAX,8-97235-848-0,1,3.46,6.24,0.1,"2,002","2,002",,Moulding Lower,,Back ,Single Part
,8-98130-015-0,REAR R/S DOOR GLASS,Isuzu,D-MAX,8-98130-015-0,1,3.15,2.57,0.02,"2,010","2,010",,Rear Side Panel,,Back ,Left Side
6,FDIB090 NA,REAR RBUMPER,Ford,RANGER WILDTRAK,H5UG-VDVFZ-KK,1,18.39,25.8,0.86,"2,022","2,022",,,,,
2,FDS002 LA,REAR SIDE BUMPER CORNER LA SMALL,Ford,BANTAM,5S69-17-K825BB,20,2.81,3.65,0.04,"2,000","2,007",,,,,
4,FDS002 LA,REAR SIDE BUMPER CORNER LA SMALL,Ford,BANTAM,5S69-17-K825BB,20,2.59,4.14,0.04,"2,000","2,007",,,,,
9,FDS004 LA,REAR SIDE BUMPER CORNER LH BIG,Ford,BANTAM,5S69-17-K825BB,10,3.53,3.63,0.07,"2,009","2,010",,,,,
,FDS004 RA,REAR SIDE BUMPER CORNER RH BIG,Ford,BANTAM,5S69-17-K824BB,10,3.82,3.16,0.07,"2,009","2,010",,,,,
,FDS002 RA,REAR SIDE BUMPER CORNER RH SMALL,Ford,BANTAM,5S69-17-K824BB,20,2.83,3.55,0.04,"2,000","2,007",,,,,
,FDS002 RA,REAR SIDE BUMPER CORNER RH SMALL,Ford,BANTAM,5S69-17-K824BB,20,3.14,3.97,0.04,"2,000","2,007",,,,,
5,FDS096 LA,REAR SIDE BUMPER LH,Ford,TOURNEO CONNECT,DT1117927B,1,11.64,6.95,0.99,"2,014","2,015",,,,,
6,FDS094 LA,REAR SIDE BUMPER LH,Ford,TOURNEO COURIER,ET76-117927ECXWAA,1,5.79,5.64,0.06,"2,014","2,015",,,,,
5,FDS092 LA,REAR SIDE BUMPER LH,Ford,TOURNEO CUSTOM,BK21-17927-A,1,22.98,7.42,1.32,"2,014","2,014",,,,,
,FDS096 RA,REAR SIDE BUMPER RH,Ford,TOURNEO CONNECT,DT1117926B,1,6.06,27.56,0.7,"2,014","2,015",,,,,
,FDS094 RA,REAR SIDE BUMPER RH,Ford,TOURNEO COURIER,ET76-117926ECXWAA,1,0.7,4.33,1.03,"2,014","2,015",,,,,
,FDS092 RA,REAR SIDE BUMPER RH,Ford,TOURNEO CUSTOM,BK21-17926-A,1,12.31,9.05,0.05,"2,014","2,014",,,,,
10,8-98104-553-8,REAR SIDE PANEL 2DR LH 2WD,Isuzu,D-MAX,8-98104-553-8,1,7.47,7.18,1.76,"2,012","2,012",,Rear Side Panel,,Back ,Left Side
,8-98104-555-6,REAR SIDE PANEL 2DR RH 2WD,Isuzu,D-MAX,8-98104-555-6,1,7.83,9.41,0.47,"2,012","2,012",,Rear Side Panel,,Back ,Right Side
8,8-98122-518-7,REAR SIDE PANEL 2DRS 4WD LH,Isuzu,DMAX,8-98122-518-7,1,7.26,9.07,0.34,"2,013","2,013",,Rear Side Panel,,Back ,Left Side
9,8-98122-519-9,REAR SIDE PANEL 2DRS 4WD RH,Isuzu,DMAX,8-98122-519-9,1,8.75,9.71,0.44,"2,013","2,013",,Rear Side Panel,,Back ,Right Side
5,FDSK115 R LA,REAR SKIRT LH,Ford,TAURUS,BG1Z-5410177-CA,10,0.03,8.89,11.52,"2,010","2,019",,,,,
,FDSK115 R RA,REAR SKIRT RH,Ford,TAURUS,BG1Z-5410176-CA,10,0.03,9,12.09,"2,010","2,019",,,,,
15,IZTB037 NA,REAR TAIL BODY D-MAX SINGLE CAB,Isuzu,D-MAX,8-97350-025-0,1,122.84,142.59,2.27,"2,002","2,003",,,,,
8,IZTB024 NB,REAR TAIL BODY DOUBLE CAB,Isuzu,ISUZU TFR,OOZU-XDNSI-8S,1,109.66,102.88,1.86,"1,997","1,998",,,,,
5,IZTB037 NB,REAR TAIL BODY DOUBLE CAB,Isuzu,D-MAX,8-97350-027-0,1,118.76,142.87,1.98,"2,002","2,003",,,,,
7,IZTB024 NA,REAR TAIL BODY SINGLE CAB,Isuzu,ISUZU TFR,8-97919-613-1,1,123.98,132.72,2.92,"1,997","1,998",,,,,
15,IZTB053 NA,REAR TAIL BODY SINGLE CAB,Isuzu,D-MAX,NA2D-FOI17-O5,1,94.73,127.29,1.92,"2,012","2,016",,,,,
6,IZTB037 NF,REAR TAIL BODY(FLAT BODY TYPE),Isuzu,D-MAX,MNF0-DHGV4-A4,1,54.63,53.17,1.04,"2,004","2,011",,,,,
5,EB3B17A894DBXUAA,REAR VALANCE PANEL,Ford,EVEREST,EB3B17A894DBXUAA,1,14.73,18,0.27,"2,015","2,015",,,,,
2,AMEB3J17A894AB,REAR VALANCE PANEL COVER,Ford,EVEREST,AMEB3J17A894AB,1,9.85,7.39,0.53,"2,015","2,015",,,,,
10,UC9R-63-930E,REAR WINDSCREEN,Ford,RANGER 4WD,UC9R-63-930E,1,0.81,1.83,0.76,"2,013","2,013",,Windscreen Weather Strip,,Back,Single Part
18,CN15-17-C403BB,REAR WIPER ARM ASSY.,Ford,ECOSPORT,CN15-17-C403BB,1,0.2,0.25,0.33,"2,015","2,018",,Window Regulator,,Back,Single Part
17,CN15-17-402BA,REAR WIPER BLADE,Ford,ECOSPORT,CN15-17-402BA,1,0.07,0.34,0,"2,015","2,018",,Window Regulator,,Back,Single Part
