NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR
15.0,UFY1-50-241,"BUMPER(L),REAR *",Ford,EVEREST,UFY1-50-241,1,5.5840628199655935,8.73704093846709,0.9461637016778284,2011,2014
,UFY1-50-231,"BUMPER(R),REAR *",Ford,EVEREST,UFY1-50-231,1,9.246376947889855,12.29041260675009,1.1600295115787205,2011,2014
1.0,US87-50-790A,RH COWL TOP LOUVER RHD,Ford,EVEREST,UR87-50-790A,1,7.213384502052713,1.076399539676293,0.3952771873131488,2011,2014
2.0,US16-50-790A,GRILLE COWL TOP LHD,Ford,EVEREST,US16-50-790A,1,6.518497895172123,9.224097658011276,0.3575728200819336,2011,2014
3.0,UA6G-51-W50C92 A,"FENDER(R),OVER-RR",Ford,EVEREST,UA6G-51-W50C92,1,11.863454928587268,2.264435245352591,0.6896671344065242,2011,2014
,UA6G-51-W60C92 A,"FENDER(L),OVER-RR",Ford,EVEREST,UA6G-51-W60C92,1,0.8961609064219701,2.2704812243317942,0.1361372624870939,2011,2014
4.0,UE4T-51-W7036,FRONT BUMPER FLARE RH,Ford,EVEREST,UE4T-51-W70B,1,0.3684464235010396,0.6455465284613039,0.0202747534716004,2010,2010
5.0,UA6G-51-V20B92 A,"PLATE(L),SIDE STEP",Ford,EVEREST,UA6G-51-V20B92,1,6.687726547312307,7.957997696320498,0.2497771362937029,2011,2014
1.0,UKY1-50-03X,FRONT BUMPER,Ford,EVEREST,UKY1-50-03X,1,3.948105423629502,4.687939869547454,0.0638986561000719,2013,2014
1.0,AMEB3J17F775AA,FRONT VALANCE PANEL COVER W/SENSOR HOLE,Ford,EVEREST,AMEB3J17F775AA,1,10.823910234864568,7.634347273663941,0.8930029708523832,2015,2015
2.0,AMEB3J17A894AB,REAR VALANCE PANEL COVER,Ford,EVEREST,AMEB3J17A894AB,1,9.84944515490087,7.391294902897872,0.5348568227060186,2015,2015
3.0,EB3B17F775CA,FRONT VALANCE PANEL W/SENSOR,Ford,EVEREST,EB3B17F775CA,1,1.3337349828989102,3.8585808168398046,0.0504828811217522,2015,2015
